#start	end	weight
3673	6714	1
3673	5747	1
3673	5293	1
55593	7187	-1
81858	8737	-1
81858	8767	1
79541	2788	1
79541	2774	1
79541	2782	1
79541	51764	1
79544	2788	1
79544	2774	1
79544	2782	1
79544	51764	1
2335	3680	1
2335	3681	1
2335	3682	1
2335	3683	1
2335	3684	1
2335	3696	1
2335	3674	1
2335	3675	1
2335	3676	1
2335	3655	1
2335	3678	1
2335	3679	1
2335	22801	1
2335	3690	1
2335	3691	1
2335	6385	1
2335	3693	1
2335	3694	1
2335	3672	1
2335	3695	1
2335	3673	1
2335	6382	1
2335	960	1
2335	3685	1
2335	8516	1
2335	3687	1
2335	3688	1
2335	8515	1
2335	3689	1
2335	5747	1
1002	1002	1
4994	2788	1
4994	2774	1
4994	2782	1
4994	51764	1
3663	3569	1
3663	6352	1
3663	414062	1
3663	7124	1
3663	3576	1
3663	3553	1
3663	6348	1
3663	3593	1
3663	6349	1
3663	3592	1
4995	2788	1
4995	2774	1
4995	2782	1
4995	51764	1
79549	2788	1
79549	2774	1
79549	2782	1
79549	51764	1
3665	3442	1
3665	3441	1
3665	3452	1
3665	3440	1
3665	3451	1
3665	338376	1
3665	3439	1
3665	3449	1
3665	3448	1
3665	56832	1
3665	3447	1
3665	3446	1
3665	3445	1
3665	3456	1
3665	3467	1
3665	3444	1
3665	3443	1
3667	5294	1
3667	5295	1
3667	5296	1
3667	146850	1
3667	2885	1
3667	8503	1
3667	5290	1
3667	23533	1
3667	5291	1
3667	5293	1
3680	9564	1
3680	1399	1
3680	1398	1
3680	7412	1
3680	6714	1
3680	5747	1
3681	9564	1
3681	1399	1
3681	1398	1
3681	6714	1
3681	5747	1
3682	9564	1
3682	1399	1
3682	1398	1
3682	6714	1
3682	5747	1
3683	9564	1
3683	7410	1
3683	3385	1
3683	2185	1
3683	3384	1
3683	3383	1
3683	1399	1
3683	1398	1
3683	10451	1
3683	6714	1
3683	5747	1
3683	10666	1
3683	7409	1
3684	9564	1
3684	1399	1
3684	1398	1
3684	3383	1
3684	6714	1
3684	5747	1
2353	6351	1
2353	6352	1
2353	7124	1
2353	4772	1
2353	2625	1
2353	1019	1
2353	3559	1
2353	595	1
2353	10018	1
2353	3558	1
2353	355	1
2353	356	1
2353	3553	1
2353	799	1
2353	6348	1
2353	6349	1
2353	54	1
2353	3690	1
2353	3569	1
2353	414062	1
2353	3567	1
2353	3566	1
2353	3565	1
2353	8739	1
2353	9560	1
2353	388372	1
2353	1437	1
2353	1513	1
2353	2689	1
2353	3458	1
2353	2688	1
2353	3456	1
2353	3576	1
2353	30009	1
2353	7157	1
2353	3596	1
2353	3595	1
2353	3594	1
2353	3593	1
2353	3592	1
2353	1443	1
2353	1442	1
2353	3586	1
1022	1017	1
1022	983	1
1021	5933	-1
1021	5934	-1
1021	5925	-1
1020	1808	1
1019	5111	1
1019	2064	-1
1019	595	1
1019	861	-1
1019	5933	-1
1019	5934	-1
1019	5925	-1
1017	25847	-1
1017	8697	-1
1017	10393	-1
1017	29945	-1
1017	29882	-1
1017	990	-1
1017	995	1
1017	996	-1
1017	1871	-1
1017	1870	-1
1017	4303	-1
1017	5933	-1
1017	2309	-1
1017	5934	-1
1017	2308	-1
1017	4605	1
1017	51529	-1
1017	64682	-1
1017	8881	-1
1017	100132074	-1
1017	246184	-1
1017	1028	-1
1017	1027	-1
1017	51434	-1
